Date,Home (kWh),Solar (kWh),aPower(s) Charge (kWh),aPower(s) Discharge (kWh),Grid Import (kWh),Grid Export (kWh),Generator (kWh),V2L (kWh)
"Aug 10, 2026",19.7,23.3,0.0,0.0,11.3,14.8,0.0,0.0
"Aug 11, 2026",18.5,22.6,0.1,0.0,10.6,14.6,0.0,0.0
"Aug 12, 2026",19.0,22.8,0.0,0.0,10.8,14.7,0.0,0.0
"Aug 13, 2026",18.8,22.8,0.1,0.0,10.7,14.6,0.0,0.0
"Aug 14, 2026",22.4,16.8,0.0,0.0,13.0,7.5,0.0,0.0
"Aug 15, 2026",18.6,18.3,0.0,0.0,11.6,11.3,0.0,0.0
"Aug 16, 2026",18.2,17.8,0.1,0.0,11.4,11.0,0.0,0.0
