Date,Home (kWh),Solar (kWh),aPower(s) Charge (kWh),aPower(s) Discharge (kWh),Grid Import (kWh),Grid Export (kWh),Generator (kWh),V2L (kWh)
"Jul 27, 2026",20.7,24.4,0.0,0.0,11.1,14.9,0.0,0.0
"Jul 28, 2026",20.5,24.7,0.1,0.0,10.2,14.4,0.0,0.0
"Jul 29, 2026",20.4,24.8,0.0,0.0,10.4,14.7,0.0,0.0
"Jul 30, 2026",20.5,24.8,0.1,0.0,11.5,15.7,0.0,0.0
"Jul 31, 2026",21.9,24.6,0.0,0.0,13.5,16.3,0.0,0.0
"Aug 1, 2026",26.2,23.9,0.0,0.0,18.0,15.6,0.0,0.0
"Aug 2, 2026",32.8,24.0,0.1,0.0,21.6,12.7,0.0,0.0
