Date,Home (kWh),Solar (kWh),aPower(s) Charge (kWh),aPower(s) Discharge (kWh),Grid Import (kWh),Grid Export (kWh),Generator (kWh),V2L (kWh)
"Jun 15, 2026",20.2,23.6,0.0,0.0,12.0,15.4,0.0,0.0
"Jun 16, 2026",25.5,23.6,0.1,0.0,16.3,14.2,0.0,0.0
"Jun 17, 2026",24.7,24.2,0.0,0.0,15.8,15.3,0.0,0.0
"Jun 18, 2026",23.1,23.8,0.1,0.0,14.5,15.2,0.0,0.0
"Jun 19, 2026",24.2,23.1,0.0,0.0,16.0,14.9,0.0,0.0
"Jun 20, 2026",25.7,23.6,0.0,0.0,16.1,14.0,0.0,0.0
"Jun 21, 2026",24.2,20.9,0.1,0.0,16.3,12.9,0.0,0.0
