Date,Home (kWh),Solar (kWh),aPower(s) Charge (kWh),aPower(s) Discharge (kWh),Grid Import (kWh),Grid Export (kWh),Generator (kWh),V2L (kWh)
"Aug 17, 2026",19.8,18.6,0.0,0.0,11.8,10.7,0.0,0.0
"Aug 18, 2026",18.8,21.2,0.0,0.0,11.4,13.8,0.0,0.0
"Aug 19, 2026",19.0,21.4,0.1,0.0,11.4,13.7,0.0,0.0
"Aug 20, 2026",18.2,19.6,0.0,0.0,10.6,11.9,0.0,0.0
"Aug 21, 2026",20.0,18.6,0.0,0.0,11.3,10.0,0.0,0.0
"Aug 22, 2026",17.3,23.0,0.1,0.0,9.7,15.3,0.0,0.0
"Aug 23, 2026",19.6,21.6,0.0,0.0,11.2,13.3,0.0,0.0
