Date,Home (kWh),Solar (kWh),aPower(s) Charge (kWh),aPower(s) Discharge (kWh),Grid Import (kWh),Grid Export (kWh),Generator (kWh),V2L (kWh)
"Jul 20, 2026",20.4,17.3,0.0,0.0,12.1,8.9,0.0,0.0
"Jul 21, 2026",27.9,21.1,0.0,0.0,18.4,11.5,0.0,0.0
"Jul 22, 2026",33.5,25.0,0.1,0.0,20.9,12.3,0.0,0.0
"Jul 23, 2026",19.2,20.8,0.0,0.0,12.9,14.5,0.0,0.0
"Jul 24, 2026",20.2,25.1,0.0,0.0,10.4,15.3,0.0,0.0
"Jul 25, 2026",18.5,24.4,0.1,0.0,9.8,15.8,0.0,0.0
"Jul 26, 2026",19.2,24.8,0.0,0.0,10.2,15.8,0.0,0.0
